1 -- solution: -2094.80951, time: 374.62954

2 -- solution: -2094.70708, time: 374.52400

3 -- solution: -2094.91255, time: 375.45551

4 -- solution: -2094.49914, time: 374.37812

5 -- solution: -2060.57399, time: 354.85919

1 -- solution: -2094.91345, time: 93.28190

2 -- solution: -2094.81013, time: 92.40069

3 -- solution: -2094.49914, time: 91.81554

4 -- solution: -2094.81013, time: 87.79251

5 -- solution: -2094.70614, time: 87.67327

1 -- solution: -2094.70585, time: 90.52476

2 -- solution: -2094.80827, time: 94.21962

3 -- solution: -2094.80951, time: 143.39817

4 -- solution: -2094.70646, time: 137.92294

5 -- solution: -2094.91256, time: 138.18394

1 -- solution: -2094.70708, time: 88.53943

2 -- solution: -2067.72043, time: 88.21751

3 -- solution: -2094.80951, time: 87.59927

4 -- solution: -2094.91254, time: 88.51381

5 -- solution: -2094.60247, time: 88.79194

1 -- solution: -2094.70710, time: 120.37555

2 -- solution: -2094.60280, time: 120.53031

3 -- solution: -2094.80950, time: 119.43358

4 -- solution: -2094.49977, time: 120.37714

5 -- solution: -2094.60280, time: 120.38107

1 -- solution: -2094.80952, time: 119.14819

2 -- solution: -2094.70647, time: 118.28338

3 -- solution: -2060.57462, time: 117.55952

4 -- solution: -2094.49914, time: 118.91991

5 -- solution: -2094.70585, time: 118.05473

